6d-	7s+	-14.655	0.038
7d-	7s+	14.202	0.057
6d+	7s+	18.748	0.071
7d+	7s+	-16.497	0.058
6d-	8s+	7.564	0.074
7d-	8s+	-75.761	0.114
6d+	8s+	-10.458	0.079
7d+	8s+	94.503	0.141
6d-	9s+	2.070	0.022
7d-	9s+	47.101	0.080
6d+	9s+	-2.720	0.019
7d+	9s+	-62.513	0.096
7p+	7p-	29.793	0.027
8p+	7p-	-12.807	0.076
9p+	7p-	-4.770	0.036
7p+	8p-	-24.331	0.087
8p+	8p-	110.835	0.116
9p+	8p-	-43.640	0.066
7p+	9p-	-6.368	0.029
8p+	9p-	-79.368	0.090
9p+	9p-	290.051	0.170
8p+	7p+	-19.698	0.076
9p+	7p+	-6.238	0.031
9p+	8p+	-64.122	0.074
7d-	6d-	-9.897	0.068
6d+	6d-	8.552	0.052
7d+	6d-	-6.112	0.035
6d+	7d-	-7.189	0.038
7d+	7d-	50.851	0.083
7d+	6d+	-13.645	0.078
